latitude;longitude;date;confidence;Fecha_inicio;Fecha_fin
8,31545;-76,30645;2024-09-23;nominal;2024-09-19;2024-10-03
8,31545;-76,30635;2024-09-23;nominal;2024-09-19;2024-10-03
8,31535;-76,30645;2024-09-23;nominal;2024-09-19;2024-10-03
8,31535;-76,30635;2024-09-23;nominal;2024-09-19;2024-10-03
8,26545;-76,33595;2024-09-23;nominal;2024-09-19;2024-10-03
8,26545;-76,33585;2024-09-23;nominal;2024-09-19;2024-10-03
8,26535;-76,33595;2024-09-23;nominal;2024-09-19;2024-10-03
8,26535;-76,33585;2024-09-23;nominal;2024-09-19;2024-10-03
8,24825;-76,37775;2024-09-23;nominal;2024-09-19;2024-10-03
8,24825;-76,37765;2024-09-23;nominal;2024-09-19;2024-10-03
8,24825;-76,37755;2024-09-23;nominal;2024-09-19;2024-10-03
8,24815;-76,37775;2024-09-23;nominal;2024-09-19;2024-10-03
8,24815;-76,37765;2024-09-23;nominal;2024-09-19;2024-10-03
8,24815;-76,37755;2024-09-23;nominal;2024-09-19;2024-10-03
8,24805;-76,37775;2024-09-23;nominal;2024-09-19;2024-10-03
8,24805;-76,37765;2024-09-23;nominal;2024-09-19;2024-10-03
8,24805;-76,37755;2024-09-23;nominal;2024-09-19;2024-10-03
8,22675;-76,34475;2024-09-23;nominal;2024-09-19;2024-10-03
8,22675;-76,34465;2024-09-23;nominal;2024-09-19;2024-10-03
8,22675;-76,34455;2024-09-23;nominal;2024-09-19;2024-10-03
8,22665;-76,34475;2024-09-23;nominal;2024-09-19;2024-10-03
8,22665;-76,34465;2024-09-23;nominal;2024-09-19;2024-10-03
8,22665;-76,34455;2024-09-23;nominal;2024-09-19;2024-10-03
8,22655;-76,34475;2024-09-23;nominal;2024-09-19;2024-10-03
8,22655;-76,34465;2024-09-23;nominal;2024-09-19;2024-10-03
8,22655;-76,34455;2024-09-23;nominal;2024-09-19;2024-10-03
8,21695;-76,38045;2024-09-23;nominal;2024-09-19;2024-10-03
8,21695;-76,38035;2024-09-23;nominal;2024-09-19;2024-10-03
8,21685;-76,38045;2024-09-23;nominal;2024-09-19;2024-10-03
8,21685;-76,38035;2024-09-23;nominal;2024-09-19;2024-10-03
8,20195;-76,35895;2024-09-23;nominal;2024-09-19;2024-10-03
8,20195;-76,35885;2024-09-23;nominal;2024-09-19;2024-10-03
8,20185;-76,35895;2024-09-23;nominal;2024-09-19;2024-10-03
8,20185;-76,35885;2024-09-23;nominal;2024-09-19;2024-10-03
8,20175;-76,35895;2024-09-23;nominal;2024-09-19;2024-10-03
8,20175;-76,35885;2024-09-23;nominal;2024-09-19;2024-10-03
8,20175;-76,35875;2024-09-23;nominal;2024-09-19;2024-10-03
8,20175;-76,35865;2024-09-23;nominal;2024-09-19;2024-10-03
8,20175;-76,35855;2024-09-23;nominal;2024-09-19;2024-10-03
8,20165;-76,35895;2024-09-23;nominal;2024-09-19;2024-10-03
8,20165;-76,35885;2024-09-23;nominal;2024-09-19;2024-10-03
8,20165;-76,35875;2024-09-23;nominal;2024-09-19;2024-10-03
8,20165;-76,35865;2024-09-23;nominal;2024-09-19;2024-10-03
8,20165;-76,35855;2024-09-23;nominal;2024-09-19;2024-10-03
8,20155;-76,35895;2024-09-23;nominal;2024-09-19;2024-10-03
8,20155;-76,35885;2024-09-23;nominal;2024-09-19;2024-10-03
8,20155;-76,35875;2024-09-23;nominal;2024-09-19;2024-10-03
8,20155;-76,35865;2024-09-23;nominal;2024-09-19;2024-10-03
8,20155;-76,35855;2024-09-23;nominal;2024-09-19;2024-10-03
8,20145;-76,35895;2024-09-23;nominal;2024-09-19;2024-10-03
8,20145;-76,35885;2024-09-23;nominal;2024-09-19;2024-10-03
8,20135;-76,35895;2024-09-23;nominal;2024-09-19;2024-10-03
8,20135;-76,35885;2024-09-23;nominal;2024-09-19;2024-10-03
8,20075;-76,36025;2024-09-23;nominal;2024-09-19;2024-10-03
8,20075;-76,36015;2024-09-23;nominal;2024-09-19;2024-10-03
8,20075;-76,36005;2024-09-23;nominal;2024-09-19;2024-10-03
8,20075;-76,35995;2024-09-23;nominal;2024-09-19;2024-10-03
8,20075;-76,35985;2024-09-23;nominal;2024-09-19;2024-10-03
8,20065;-76,36025;2024-09-23;nominal;2024-09-19;2024-10-03
8,20065;-76,36015;2024-09-23;nominal;2024-09-19;2024-10-03
8,20065;-76,36005;2024-09-23;nominal;2024-09-19;2024-10-03
8,20065;-76,35995;2024-09-23;nominal;2024-09-19;2024-10-03
8,20065;-76,35985;2024-09-23;nominal;2024-09-19;2024-10-03
8,20055;-76,36025;2024-09-23;nominal;2024-09-19;2024-10-03
8,20055;-76,36015;2024-09-23;nominal;2024-09-19;2024-10-03
8,20055;-76,36005;2024-09-23;nominal;2024-09-19;2024-10-03
8,20055;-76,35995;2024-09-23;nominal;2024-09-19;2024-10-03
8,20055;-76,35985;2024-09-23;nominal;2024-09-19;2024-10-03
8,19295;-76,43945;2024-09-23;nominal;2024-09-19;2024-10-03
8,19295;-76,43935;2024-09-23;nominal;2024-09-19;2024-10-03
8,19285;-76,43945;2024-09-23;nominal;2024-09-19;2024-10-03
8,19285;-76,43935;2024-09-23;nominal;2024-09-19;2024-10-03
8,18545;-76,42875;2024-09-23;nominal;2024-09-19;2024-10-03
8,18545;-76,42865;2024-09-23;nominal;2024-09-19;2024-10-03
8,18545;-76,42855;2024-09-23;nominal;2024-09-19;2024-10-03
8,18535;-76,42875;2024-09-23;nominal;2024-09-19;2024-10-03
8,18535;-76,42865;2024-09-23;nominal;2024-09-19;2024-10-03
8,18535;-76,42855;2024-09-23;nominal;2024-09-19;2024-10-03
8,18525;-76,42895;2024-09-23;nominal;2024-09-19;2024-10-03
8,18525;-76,42885;2024-09-23;nominal;2024-09-19;2024-10-03
8,18515;-76,42895;2024-09-23;nominal;2024-09-19;2024-10-03
8,18515;-76,42885;2024-09-23;nominal;2024-09-19;2024-10-03
8,18505;-76,42895;2024-09-23;nominal;2024-09-19;2024-10-03
8,18505;-76,42885;2024-09-23;nominal;2024-09-19;2024-10-03
8,18375;-76,35575;2024-09-23;nominal;2024-09-19;2024-10-03
8,18375;-76,35565;2024-09-23;nominal;2024-09-19;2024-10-03
