latitude;longitude;date;confidence;Fecha_inicio;Fecha_fin
8,52375;-76,40125;2024-09-23;nominal;2024-09-19;2024-10-03
7,93935;-76,45635;2024-09-23;nominal;2024-09-19;2024-10-03
8,58755;-76,47265;2024-09-23;nominal;2024-09-19;2024-10-03
7,19695;-76,39585;2024-09-23;nominal;2024-09-19;2024-10-03
6,94795;-76,42465;2024-09-21;nominal;2024-09-19;2024-10-03
7,61885;-76,71385;2024-09-23;nominal;2024-09-19;2024-10-03
8,48025;-76,61035;2024-09-23;nominal;2024-09-19;2024-10-03
8,26215;-76,69025;2024-09-23;nominal;2024-09-19;2024-10-03
7,17705;-75,74595;2024-09-24;nominal;2024-09-19;2024-10-03
7,40675;-74,74495;2024-09-24;nominal;2024-09-19;2024-10-03
5,89345;-75,38055;2024-09-24;nominal;2024-09-19;2024-10-03
6,97975;-76,43665;2024-09-23;nominal;2024-09-19;2024-10-03
8,47065;-76,76515;2024-09-23;nominal;2024-09-19;2024-10-03
5,57805;-75,86695;2024-09-24;nominal;2024-09-19;2024-10-03
8,12055;-76,46985;2024-09-23;nominal;2024-09-19;2024-10-03
7,58695;-76,75035;2024-09-23;nominal;2024-09-19;2024-10-03
8,17775;-76,73305;2024-09-23;nominal;2024-09-19;2024-10-03
6,94905;-76,27585;2024-09-23;nominal;2024-09-19;2024-10-03
8,24265;-76,62795;2024-09-23;nominal;2024-09-19;2024-10-03
8,05875;-76,55275;2024-09-23;nominal;2024-09-19;2024-10-03
8,28165;-76,67525;2024-09-23;nominal;2024-09-19;2024-10-03
8,39605;-76,65665;2024-09-23;nominal;2024-09-19;2024-10-03
8,58035;-76,47265;2024-09-23;nominal;2024-09-19;2024-10-03
8,63575;-76,63065;2024-09-23;nominal;2024-09-19;2024-10-03
8,50815;-76,52225;2024-09-23;nominal;2024-09-19;2024-10-03
7,31935;-76,45935;2024-09-23;nominal;2024-09-19;2024-10-03
7,67695;-76,64495;2024-09-23;nominal;2024-09-19;2024-10-03
8,61485;-76,79885;2024-09-23;nominal;2024-09-19;2024-10-03
8,62555;-76,65155;2024-09-23;nominal;2024-09-19;2024-10-03
7,12145;-75,83965;2024-09-24;nominal;2024-09-19;2024-10-03
7,61895;-76,71445;2024-09-23;nominal;2024-09-19;2024-10-03
7,31745;-76,45585;2024-09-23;nominal;2024-09-19;2024-10-03
8,15145;-76,41605;2024-09-23;nominal;2024-09-19;2024-10-03
8,79885;-76,47905;2024-09-23;nominal;2024-09-19;2024-10-03
6,95595;-76,27095;2024-09-23;nominal;2024-09-19;2024-10-03
8,07645;-76,46705;2024-09-23;nominal;2024-09-19;2024-10-03
8,14425;-76,64375;2024-09-23;nominal;2024-09-19;2024-10-03
7,79895;-76,79625;2024-09-23;nominal;2024-09-19;2024-10-03
6,99525;-75,87895;2024-09-24;nominal;2024-09-19;2024-10-03
6,83945;-76,21355;2024-09-23;nominal;2024-09-19;2024-10-03
8,11775;-76,46935;2024-09-23;nominal;2024-09-19;2024-10-03
7,65285;-74,67715;2024-09-24;nominal;2024-09-19;2024-10-03
8,35765;-76,63435;2024-09-23;nominal;2024-09-19;2024-10-03
7,50385;-75,64515;2024-09-24;nominal;2024-09-19;2024-10-03
7,99825;-76,66275;2024-09-23;nominal;2024-09-19;2024-10-03
8,52345;-76,40175;2024-09-23;nominal;2024-09-19;2024-10-03
5,64875;-75,32335;2024-09-24;nominal;2024-09-19;2024-10-03
8,08445;-76,49715;2024-09-23;nominal;2024-09-19;2024-10-03
7,79745;-76,79925;2024-09-23;nominal;2024-09-19;2024-10-03
8,57555;-76,47615;2024-09-23;nominal;2024-09-19;2024-10-03
8,63545;-76,62835;2024-09-23;nominal;2024-09-19;2024-10-03
8,63535;-76,62965;2024-09-23;nominal;2024-09-19;2024-10-03
5,86845;-75,53065;2024-09-24;nominal;2024-09-19;2024-10-03
6,84135;-76,29855;2024-09-23;nominal;2024-09-19;2024-10-03
5,92825;-75,90155;2024-09-24;nominal;2024-09-19;2024-10-03
7,63575;-76,72615;2024-09-23;nominal;2024-09-19;2024-10-03
8,54535;-76,46495;2024-09-23;nominal;2024-09-19;2024-10-03
6,12485;-75,05875;2024-09-24;nominal;2024-09-19;2024-10-03
8,18045;-76,47625;2024-09-23;nominal;2024-09-19;2024-10-03
